Epoch,Loss,Accuracy,Hamming Loss,Precision,Recall,F1-Score
1.0,0.212196618707144,91.0248033877798,0.089751966122202,0.6533491081179469,0.6654616240266963,0.6593497428361499
2.0,0.2275016334044752,88.86872353297036,0.1113127646702964,0.5600282485875706,0.6651444547996272,0.6080770213853626
3.0,0.2356984840902058,90.74773139745916,0.0925226860254083,0.6371906841339156,0.6568507924599081,0.6468713922881552
4.0,0.3900884176274853,82.22020568663036,0.1777979431336963,0.3580149946447697,0.4678111587982833,0.4056142053957853
5.0,0.4844298431742767,80.8626739261948,0.191373260738052,0.3518750712413085,0.5814106789716545,0.4384164743475945
6.0,0.1793521216727401,93.29340592861465,0.0670659407138536,0.8001158748551565,0.6439429264198452,0.7135844571900998
7.0,1.8244419416888515,62.33151845130067,0.3766848154869933,0.1795338903197437,0.5328610049408036,0.2685774697521438
8.0,0.3647415428921012,84.02661826981246,0.1597338173018753,0.4223785889300747,0.6265026558568633,0.5045782047433203
9.0,0.2906077975302448,87.4627949183303,0.1253720508166969,0.5157364267376628,0.507247732161227,0.5114568599717114
10.0,1.153551036849476,74.26618269812462,0.2573381730187538,0.2975993854426733,0.7220876048462256,0.4214878280973752
11.0,0.2869629129956725,87.6043557168784,0.1239564428312159,0.5204168078617418,0.5726671017059756,0.5452931516577161
12.0,0.4727396109582562,86.9643073200242,0.130356926799758,0.4563380281690141,0.0302464525765496,0.0567326212572229
13.0,0.237102078980582,89.43012704174228,0.1056987295825771,0.5828595317725752,0.6504011942526591,0.6147808448716818
14.0,0.1756864769538922,93.43012704174228,0.0656987295825771,0.7971128904928386,0.6606224880829984,0.7224777675559644
15.0,0.5828005567612211,86.67029643073201,0.1332970356926799,0.3304904051172708,0.028974670529956,0.0532783363409813
16.0,0.2082425652955829,93.2788868723533,0.067211131276467,0.7968062948391575,0.6444548432381844,0.7125782583949914
17.0,0.6190812100203346,82.50211736237145,0.1749788263762855,0.4241252969360228,0.985130459178902,0.5929636926540951
18.0,0.552062746975909,80.77918935269207,0.1922081064730792,0.3651783355350066,0.6409162570713159,0.4652618823212602
19.0,0.3056865621256742,89.81851179673322,0.1018148820326678,0.7148609779482262,0.3498498498498498,0.4697876630332052
20.0,0.7273223232930888,76.17785843920146,0.2382214156079855,0.0710466004583651,0.0695002335357309,0.0702649100439155
21.0,0.2145287429536954,92.70175438596492,0.0729824561403508,0.7367609254498715,0.673592178245746,0.7037619094391514
22.0,0.3075653008596267,85.15305505142166,0.1484694494857834,0.4509981303902056,0.7024234454255119,0.5493076725309436
23.0,0.2125613127256187,89.84271022383545,0.1015728977616454,0.585144388210777,0.7359355986146213,0.6519341597910361
24.0,0.2861366724664939,89.88626739261947,0.1011373260738052,0.5644134752551301,0.960773325861586,0.7110911416030139
25.0,0.236000465035452,89.18088324258923,0.1081911675741076,0.5689364096792346,0.6640705639485784,0.6128333910633876
26.0,0.2819126500797115,88.32788868723533,0.1167211131276467,0.5580799254339974,0.4500187899285983,0.4982576585010662
27.0,0.2283770842930663,89.67574107683001,0.1032425892316999,0.5871574642126789,0.6731057764441111,0.6272008388308795
28.0,0.2838783019284858,90.90502117362372,0.0909497882637628,0.6862627474505099,0.5385049896441348,0.6034710133459935
29.0,0.2241746464123047,88.95583787053842,0.1104416212946158,0.5578533837373063,0.7040883150902797,0.6224979321753515
30.0,0.1863796908421925,91.22081064730791,0.0877918935269207,0.6397845006216328,0.7262207169065763,0.6802679122234953
31.0,0.1603634110736422,93.88021778584393,0.0611978221415608,0.8364025187121302,0.6566551627646675,0.7357090605078901
