Epoch,Accuracy,Loss,Precision,Recall
1.0,71.10266159695817,0.6663823092685026,71.10266159695817,100.0
2.0,70.49429657794677,0.6546911386882558,70.49429657794677,100.0
3.0,71.33079847908745,0.6497233019155615,71.33079847908745,100.0
4.0,70.26615969581749,0.6480769515037537,70.26615969581749,100.0
5.0,71.71102661596959,0.6419897079467773,71.71102661596959,100.0
6.0,70.64638783269962,0.6417072625721202,70.64638783269962,100.0
7.0,71.71102661596959,0.6344779589596916,71.71102661596959,100.0
8.0,71.1787072243346,0.6312404485309825,71.1787072243346,100.0
9.0,70.41825095057034,0.6262837999007281,70.41825095057034,100.0
10.0,71.55893536121673,0.6094934098860797,71.55893536121673,100.0
11.0,71.55893536121673,0.6002597405629999,71.55893536121673,100.0
12.0,70.8745247148289,0.5898393620462978,70.8745247148289,100.0
13.0,70.19011406844106,0.5804233480902279,70.71097372488408,98.59913793103448
14.0,71.63498098859316,0.5674399032312281,72.87319422150883,96.288441145281
15.0,72.77566539923954,0.5597871524446151,73.87312186978298,95.16129032258064
16.0,74.90494296577947,0.5519046275054708,75.77586206896552,94.71982758620688
17.0,78.70722433460077,0.5397856515996596,81.69556840077071,90.4051172707889
18.0,77.11026615969581,0.5396656937458936,78.16399286987522,93.9978563772776
19.0,81.4448669201521,0.5229526653009302,84.29833169774288,91.09225874867444
20.0,80.45627376425855,0.5138775583575753,82.44937319189971,91.93548387096774
21.0,80.07604562737643,0.5206121889983907,82.63821532492726,91.12299465240642
22.0,80.30418250950571,0.5059048480847302,83.41511285574093,90.4255319148936
23.0,80.0,0.4976555617416606,82.22222222222223,91.50537634408602
24.0,80.38022813688212,0.5018263862413519,83.25219084712755,90.86078639744952
25.0,79.92395437262357,0.5083091749864466,82.6086956521739,91.05431309904154
26.0,81.21673003802282,0.4908083572107203,82.73866923818707,92.65658747300216
27.0,78.78326996197718,0.4982497692108154,80.77651515151516,91.81916038751343
28.0,80.45627376425855,0.4821634853587431,82.43761996161228,92.06859592711685
29.0,79.01140684410646,0.4853619687697467,81.57644824311491,91.28586609989372
30.0,79.84790874524715,0.4843930619604447,81.43261074458059,92.7038626609442
31.0,79.3916349809886,0.4902576681445627,80.75117370892019,92.87257019438444
32.0,80.45627376425855,0.4649621949476354,82.98279158699809,91.65786694825763
33.0,80.45627376425855,0.4813328052268308,81.71428571428571,92.95774647887325
34.0,77.56653992395437,0.4847349691040375,78.65576748410535,93.52051835853132
35.0,78.78326996197718,0.4775969202027601,80.66914498141264,92.43876464323748
36.0,78.85931558935361,0.4722658974282882,80.76923076923077,92.18415417558886
37.0,80.45627376425855,0.4586824950049905,82.21381267738883,92.64392324093816
38.0,79.54372623574145,0.4691366491948857,80.83720930232558,93.24034334763948
39.0,80.0,0.4698137640953064,81.84383819379116,92.55319148936172
40.0,77.49049429657795,0.4725588647758259,78.84615384615384,92.9805615550756
41.0,81.21673003802282,0.4564593872603248,82.88973384030419,92.86474973375933
42.0,79.77186311787072,0.4652298557407716,81.42589118198875,92.73504273504274
43.0,79.46768060836501,0.4615613563972361,81.21495327102804,92.64392324093816
44.0,79.23954372623574,0.4563510733492234,80.4307116104869,93.06608884073673
45.0,79.16349809885932,0.4499608611359316,79.94530537830447,94.1997851772288
46.0,81.14068441064639,0.4378604292869568,83.28557784145177,92.27513227513228
47.0,81.06463878326996,0.4342049544348436,83.60655737704919,91.64904862579282
48.0,79.46768060836501,0.4483264228876899,79.26605504587155,95.15418502202644
49.0,79.01140684410646,0.4493611533852184,79.08438061041292,95.34632034632034
50.0,80.30418250950571,0.439949276692727,81.74157303370787,93.16969050160084
50.0,80.53231939163499,0.43376224619500775,83.10940499040306,91.54334038054968
51.0,81.82509505703422,0.42697439211256366,83.91472868217055,92.22577209797657
52.0,79.16349809885932,0.4350554250618991,80.30852994555354,93.94904458598727
53.0,79.16349809885932,0.4443870896802229,80.68506184586109,92.27421109902068
54.0,82.12927756653993,0.42284608500845294,83.98821218074656,92.23300970873787
55.0,80.83650190114068,0.43138361853711743,81.98874296435272,93.57601713062098
56.0,80.6083650190114,0.42240812585634346,82.10922787193974,93.06296691568836
